▼本法人データはリストスが提供しています。
https://listoss.com/
▼1件10円！お問い合わせフォーム送信代行。
https://ftj-g.co.jp/form/
▼御社のテレアポ代行します。
https://ftj-g.co.jp/

会社名,郵便番号,都道府県,市区町村,住所,電話番号,FAX番号,出典URL,カテゴリ
特定非営利活動法人塩釜市体育協会,985-0075,宮城県,塩竈市,今宮町9-1,0223-62-2101,0223-62-1089,http://www.npo-shiogama-taikyo.or.jp/,スポーツ,
宮城県漁業協同組合／塩釜市浦戸東部支所,985-0194,宮城県,塩竈市,浦戸寒風沢字湊136,022-369-2111,0225-21-5640,http://www.jf-miyagi.com/,組合・団体,
東北ドック鉄工株式会社／本社・工場／管理部,985-0003,宮城県,塩竈市,北浜4丁目14-1,022-364-2111,022-366-7436,http://business3.plala.or.jp/,製造・加工（輸送機械器具）,
東北重機工事株式会社,985-0003,宮城県,塩竈市,北浜4丁目14-60,022-364-2120,022-364-2121,http://www.tjkk.jp/,製造・加工（輸送機械器具）,
東北重機工事株式会社,985-0003,宮城県,塩竈市,北浜4-14-1,0223-64-2120,0223-64-2121,http://www.tjkk.jp/,総合・職別工事業,
株式会社三亥,985-0016,宮城県,塩竈市,港町2-12-3,0223-64-2131,0223-66-6564,http://mitsui1923.co.jp/,販売・卸（その他）,
株式会社三亥／本社,985-0016,宮城県,塩竈市,港町2丁目12-3,022-364-2135,022-362-4072,http://mitsui1923.co.jp/,製造・加工（輸送機械器具）,
三波食品株式会社,985-0001,宮城県,塩竈市,新浜町1-43-1,0223-66-2151,0223-66-2157,http://www.minami-foods.com/,製造・加工（食料品）,
株式会社阿部善商店,985-0015,宮城県,塩竈市,中の島1-11,022-364-2155,022-364-1778,http://abezen.co.jp/,食料品,
株式会社仙台銀行塩釜支店,985-0052,宮城県,塩竈市,本町6-6,022-365-2156,N.A.,http://www.sendaibank.co.jp/,金融・郵貯・貸金,
三恵商事株式会社,985-0001,宮城県,塩竈市,新浜町1丁目21-57,022-364-2171,022-364-7436,http://www.dra-sendai.com/,OA機器,
株式会社ふとんの中野,985-0053,宮城県,塩竈市,南町7-26,022-362-2195,022-364-8349,http://布団クリーニング.biz/,その他サービス,
